id,name
1101,"Totopos Made With Quinoa, Chia & Maca, 14 oz"
1102,"Go Macro Coconut, Almond Butter and Chocolate Chips Bar - 2.3oz"
1103,Toasted Coconut Chips - 3oz - Good & Gather™
1104,"Zesty Nacho Kale Chips, 2 oz"
1105,Annie Chun's Organic Seaweed Snacks Sesame - 0.35oz
1106,"Chicken And Waffles Chips, 2.25 oz"
1107,"Simply Naked Pita Chips, 1 each"
1108,"Miso Ginger Puffed Veggie Crisps, 1 oz"
1109,"Lightly Salted Original Green Pea Crisps, 3.3 oz"
1110,"Power Curls Himalayan Pink Salt, 4 oz"
1111,Chester's Puffcorn Cheese Puffed Corn Snacks - 5.5oz
1112,Wise Onion Garlic Potato Chips 8.75oz
1113,Good Health Sea Salt Veggie Stix - 6.25oz
1114,Organic Blue Corn Tortilla Chips - 12oz - Good & Gather™
1115,"Organic Sea Salt Corn Chips, 9 oz"
1116,"Potato Chips Sea Salt - Rippled Snack Size, 1 each"
1117,"Organic Sea Salt Thin & Crispy Tortilla Chips, 11 oz"
1118,Kettle Krinkle Cut Salt & Fresh Ground Pepper Potato Chips - 8.5oz
1119,"Yellow Tortilla Chips, 16 oz"
1120,"Sea Salt Tortilla Chips, 4 oz"
1121,Wise Lightly Salted Original Potato Chips - 9oz
1122,"Thin & Crispy Sea Salt & Vinegar Potato Chips, 5 oz"
1123,"Lay's Lightly Salted Classic Flavored Potato Chips, Party Size, 12.5 oz Bag"
1124,"Sea Salted Matzo Chips, 6 oz"
1125,"Cape Cod Potato Chips, Russet Kettle Cooked Chips, 7.5 oz"
1126,Utz Salt & Malt Vinegar Kettle Classics Potato Chips - 8oz
1127,"Potato Chips, Barbecue|, 10 oz"
1128,"Nacho Chipotle Tortilla Chips, 5.5 oz"
1129,"Sea Salt Vinegar Kettle Cooked Potato Chips, 5.5 ounce"
1130,Old Dutch Salt & Vinegar Kettle Potato Chips - 9oz
1131,Tostitos Scoops! Tortilla Chips - 14.5oz
1132,Utz Baked Cheese Curls - 8.5oz
1133,Jays Barbecue Potato Chips - 10oz
1134,Hippeas Nacho Vibes Organic Chickpea Puffs - 5oz
1135,"Potato Chips, Sour Cream, 10 oz"
1136,"Buffalo Ranch Cheese Curls, 7 oz"
1137,Utz The Crab Chip Potato Chips - 7.5oz
1138,Cheetos Crunchy Cheese Flavored Snacks - 8.5oz
1139,"Sea Salt Plantain Chips Multipack, 6 oz"
1140,Lays Wavy Salt and Pepper Potato Chips- 7.5oz
1141,Harvest Snaps Crunchions Sour Cream & Onion - 2.5oz
1142,"Ritz Original Toasted Chips, 8.1 oz"
1143,"Miss Vickie's Sea Salt & Vinegar Flavored Kettle Cooked Potato Chips, 8 oz Bag"
1144,"Heritage Blend Sea Salt Vegetable Chips, 5 oz"
1145,Zapp's New Orleans Kettle Style Sweet Creole Onion Kettle Chips - 5oz
1146,Krunchers Kettle Cooked Jalapeno Potato Chips - 8oz
1147,Lays Kettle Cooked Flamin Hot 8oz
1148,Real Food From The Ground Up Cauliflower Stalks Cheddar - 4oz
1149,"Avocado Oil Canyon Cut Sea Salt & Cracked Pepper Potato Chips, 5.25 oz"
1150,SunChips Harvest Cheddar Flavored Wholegrain Snacks - 7oz
