id,name
551,"Bar Dark Chocolate Candied Hemp Mint, 2 oz"
552,"72% Dark Chocolate With Cacao Nibs, 3 oz"
553,"Russell Stover Sugar Free Dark Chocolate with Stevia, 3 oz. Bag"
554,"Organic Brown Butter 70% Cacao Dark Chocolate, 2.82 oz"
555,"Mint Dark Chocolate, 4.7 oz"
556,"Gianduja Blocks, 6.6 oz"
557,Chocolove Almonds & Sea Salt in Dark Chocolate - 3.2oz
558,Dove Promises Dark Chocolate Candies - 15.8oz
559,"Reese's, Peanut Butter Cups Chocolate Candy, 6.6 Oz."
560,"Cinnamon Roll 4 Count, 15 oz"
561,"Organic Nutty For Me Milk Chocolate Bites, 4.2 oz"
562,"Apple Turnover 4pk, 12 oz"
563,"Organic Crispy Dark Chocolate Peanut Butter Cup 2 Count, 1.32 oz"
564,Hi Hershey Nuggets Mc W/almond Fmly Pk
565,SmartSweets Sour Blast Buddies - 1.8oz
566,Godiva Coconut Crunch Domes - 4.3oz
567,Kitchen Sink Bark
568,"FlapJacked Mighty Muffin Cinnamon Roll Microwavable Muffin Cup, 1.94 oz"
569,"Apple Cider Donut 4pk, 10 oz"
570,"YORK Peppermint Patties Dark Chocolate Candy, Individually Wrapped, 17.3 oz, Bag"
571,"Reese's Dark Chocolate Peanut Butter THINS, Resealable Bag, 12 Oz."
572,"Cinnamon Raisin Sprouted Grain Crunchy Cereal, 16 oz"
573,Hershey's Kisses Milk Chocolate Candy - 10.8oz
574,Ghirardelli Premium Assortment Chocolate Squares Bag - 5.91oz
575,"GHIRARDELLI Milk Chocolate Squares with Caramel Filling, 9.04 OZ Bag"
576,Kit Kat King Size Candy Bars - 3oz
577,"8 Filled Mini Beignets Hazelnut Chocolate, 7.05 oz"
578,"HERSHEY'S KISSES Milk Chocolate Candy, Individually Wrapped, 10.8 oz, Share Bag"
579,"Skittles Original Chewy Candy Share Size Pack, 4 oz"
580,Black Forest Gummy Bears Candy - 28.8oz
581,"Cherry Turnover, 3 oz"
582,Kraft Jet-Puffed Marshmallows - 12oz
583,KissFld Crml 10.1oz
584,"Black Salt Coconut Nib Caramel Marshmallow, 2.5 oz"
585,Ghirardelli Milk Chocolate & Caramel Bag - 9.04oz
586,"Freshness Guaranteed Assorted Donut Holes, 14 oz, 28 Count"
587,"Cranberry Orange Scones, 12 oz"
588,Twix Minis Caramel Chocolate Cookie Bar Candy - 40oz
589,"Organic Dark Chocolate Salted Almond Discs, 2.7 oz"
590,"Werther's Original Cocoa Creme Soft Caramel Candies, 4.51 Oz"
591,"Donuts Chocolate Glazed, 14 oz"
592,Pixy Stix Candy Filled Fun Straws 3.2o Bag (Pack of 15)
593,"Whatchamacallit King Size Candy Bar, 2.6 Oz"
594,"Breath Savers Sugar Free Mints in Spearmint Flavor, 1.27 Oz"
595,"Reese's, Peanut Butter Chocolate Candy Giant Bar, 6.8 Oz."
596,"Good & Plenty, Licorice Candy, 6 Oz"
597,Lindt Excellence Caramel Sea Salt Dark Chocolate - 3.5oz
598,M&M's Peanut Butter Share Size Chocolate Candies - 2.83oz
599,Jelly Beans Assorted Flavors - 14oz - Favorite Day™
600,Hostess Crunch Donettes - 9.5oz
