id,name
751,"Original, 25.4 fl oz"
752,Kitu Super Coffee Mocha - 12 fl oz Bottle
753,"Organic Coffee Sparkling Tonic, 15.2 fl oz"
754,"Macadamia Milk Latte Da, 32 fl oz"
755,"Unsweetened Almond Milk Creamer, 25.4 fl oz"
756,"Coconut Mocha Coffee, 11 fl oz"
757,SToK Protein Cold Brew Coffee - 48 fl oz
758,"Mocha Latte Coffee, 12 fl oz"
759,"Cold Brew Coffee Ambient Dark Chocolate Oat Milk, 8 fl oz"
760,"Chocolate Oatly Cold Brew Coffee, 11 fl oz"
761,"Chocolate Oatly Cold Brew Coffee, 11 fl oz"
762,"Organic Cold Brew Churro Coffee, 8 fl oz"
763,"Starbucks Doubleshot Energy Vanilla Energy Coffee Beverage, 15 Fl. Oz."
764,"Chameleon Organic Cold-brew Black Coffee, 32 fl oz"
765,"Cold Brew All Black Mocha Coffee, 10.5 fl oz"
766,"Starbucks Nitro Cold Brew Premium Coffee Drink, Vanilla Sweet Cream, 9.6 oz Can"
767,Land O' Lakes Mini Moo's Half & Half Coffee Creamer - 24ct
768,"Vanilla Nut Herbal Coffee, 2.12 oz"
769,Starbucks Skinny Vanilla Latte Iced Espresso Classics - 40 fl oz
770,"Cold Brew Coffee Ambient Black, 8 fl oz"
771,KITU Super Vanilla Dark Roast Coffee - Single Serve Pods - 10ct
772,Califia Farms XX Espresso Cold Brew Coffee - 48 fl oz
773,"Nitro Cold Brew Latte, 7 fl oz"
774,"Organic Juice Cacao Mocha, 16 fl oz"
775,Starbucks Iced Espresso Chilled Espresso Beverage Vanilla Latte Flavored 40 Fl Oz Bottle
776,"Mocha Almond Coffee, 40 fl oz"
777,"Cold Brew Coffee With Original Oat Milk, 46 fl oz"
778,"Cold Brew - Black & White with Oatmilk, 48 fl oz"
779,"Starbucks Cold Brew Coffee, Cocoa & Honey with Cream, 11 Fl oz Glass Bottle"
780,International Delight Hazelnut Singles Coffee Creamer - 24ct
781,International Delight French Vanilla Singles Coffee Creamer - 24ct
782,International Delight Caramel Macchiato Coffee Creamer - 24ct
783,"Mocha Draft Latte, 9 fl oz"
784,"Rapid Fire Ketogenic Original Coffee Creamer, 8.5 Oz"
785,"Dunkin' Donuts Original Iced Coffee Bottle, 13.7 fl oz"
786,"Organic Mocha Latte Nitro Cold Brew Coffee, 7 fl oz"
787,"Cold Brew Coffee With Chocolate Milk, 10 fl oz"
788,"Refrigerated Coffee Creamer, Vanilla, 16 fl oz"
789,"Triple Shot Cold Brew Coffee With Almondmilk, 10.5 fl oz"
790,"International Delight OREO Cookie Flavored Iced Coffee, 64 Oz."
791,"Refrigerated Coffee Creamer, Hazelnut, 16 fl oz"
792,Starbucks Caffe Mocha Iced Espresso Classics - 40 fl oz
793,"Mocha Nitro Cold Brew Coffee with Almond Milk, 10.5 fl oz"
794,Forto Vanilla Latte 200mg Caffeine Shot - 2 fl oz Bottle
795,"Pressed Lemon French Yogurt, 4.9 oz"
796,"Hazelnut Almond Milk Creamer, 25.4 fl oz"
797,Peet's Coffee Iced Dark Chocolate - 13.7 fl oz Bottle
798,"Maxwell House International Cafe Francais Cafe Style Beverage Mix, 7.6 oz. Canister"
799,"Hills Bros.® Instant Cappuccino White Chocolate Caramel Coffee Mix, 16 oz. Canister"
800,"Hills Bros.® Instant Cappuccino English Toffee Coffee Mix, 16 oz. Canister"
