id,name
1251,"Great Value Borracho Bean Salsa, 13 oz"
1252,"Tabuleh, 9 oz"
1253,Revolutionary Earthy Majestic Sprouted Hummus
1254,"Thai Coconut Curry Hummus, 8 oz"
1255,"Hummus Organic Zesty Lemon, 8 ounce"
1256,"Hummus Organic Red Pepper, 8 ounce"
1257,"Organic Roasted Garlic Hummus, 8 oz"
1258,"Organic Roasted Premium Seaweed Snack, Toasted Sesame, .35 Oz, 0.35 oz"
1259,"Jalapeño Flavor Queso, 8 oz"
1260,Sabra Singles Classic Guacamole 2 oz (4 count)
1261,"Black Bean Hummus, 8 oz"
1262,"Gourmet Authentic Hummos, 8 oz"
1263,"Mild Salsa Verde, 15 oz"
1264,"Pork Rillettes Pate, 7 oz"
1265,"Falafel Hummus, 7.5 oz"
1266,"Hot Guacamole, 8 oz"
1267,"Cayanee Raw Hummus, 8 oz"
1268,"Original Hot Salsa, 16 oz"
1269,"Spicy Guacamole, 8 oz"
1270,"Traditional Hummus, 8 oz"
1271,"Salsa Tomatillo, 11 ounce"
1272,"Habanero Salsa, 16 oz"
1273,"Fritos Original Bean Dip, 3.125 oz Canister"
1274,"Salsa Verde, 16 oz"
1275,"Sam's Choice Medium Spice Salsa Verde, 16 oz"
1276,"Salsa Roasted Chili, 11 ounce"
1277,"Dean's, French Onion Dip, 16 Oz."
1278,"Plant-based Original Queso, 16 oz"
1279,"Organic Original Recipe Hummus, 8 oz"
1280,"Vegan Pesto, 6.5 oz"
1281,"Organic Onion Chive Dip Mix, 1 oz"
1282,"Fresh Cravings Medium Pico de Gallo Salsa, 14 oz"
1283,"Great Value Organic Mild Salsa, 16 oz"
1284,Organic Jalapeno Hommus
1285,"Cilantro Chili, 8 oz"
1286,"Mild Salsa, 16 oz"
1287,"On The Border Original Mild Salsa, 16 Oz"
1288,"Sabra Roasted Red Pepper Hummus, Family Size, 17 oz"
1289,"Snickerdoodle Dessert Hummus, 8 oz"
1290,"Roasted Salsa, 16 oz"
1291,Chipotle Salsa
1292,"Restaurant Style Salsa, Medium Tex-mex Salsa, 16 oz"
1293,"Tostitos Medium Salsa Con Queso, 15 Oz Jar"
1294,"Sabra Roasted Pine Nut Hummus, Family Size, 17 oz"
1295,"Marketside Spinach Dip, 16 oz"
1296,"Lay's French Onion Dip, 23 oz Jar"
1297,"Peppercorn Country Pate, 7 oz"
1298,"On The Border Original Medium Salsa, 24 Oz"
1299,"Fresh Cravings Restaurant Style Hot Salsa, 16 oz"
1300,"On The Border Cantina Medium Salsa, 16 Oz"
