id,name
1901,"Great Value Sugar-Free Whipped Heavy Cream, 6.5 oz"
1902,"Chocolate Pudding Ice Cream, 1 pint"
1903,Rebel Ice Cream | Mint Chip
1904,Outshine Strawberry Frozen Fruit Bar - 12ct
1905,"Dairy Free Coconut Almond Mini Bars, 9.2 fl oz"
1906,Ben & Jerry's Ice Cream Chocolate Fudge Brownie 16 oz
1907,Rebel Ice Cream | Cookie Dough
1908,"Pina Colada Fruit Bar, 3 fl oz"
1909,"Organic Sour Cream, 16 oz"
1910,Breyers Carb Smart Vanilla Bars Ice Cream - 6pk/18floz
1911,Annie's Organic Frozen Fruit Juice Pops Grape - 10ct
1912,Assorted Flavor Frozen Popsicles - 42oz/24ct - Favorite Day™
1913,"Organic Vanilla Bean, 1 pint"
1914,"Coconut Macaroon Coconutmilk Dessert, 1 pint"
1915,"Dessert Cashew Milk Dark Chocolate Truffle, 1 pint"
1916,"Chocolate Non Dairy Frozen Dessert, 14 fl oz"
1917,Breyers CarbSmart Frozen Dairy Dessert Caramel Bar 6 Bars
1918,"Ice Cream Bars Cashew Dipped Salted Caramel 4 Pack, 9.2 fl oz"
1919,Ben & Jerry's Ice Cream Ice Cream Sammie 16 oz
1920,"Non-dairy Almond Chocolate Crunch Frozen Dessert, 1 pint"
1921,"Chocolate Souffle, 5.2 oz"
1922,"Organic Chocolate Ice Cream, 1.5 qts"
1923,Frozen Tiramisu - 12oz/4ct - Favorite Day™
1924,"Brownie Sundae Raspberry Swirl Frozen Dessert, 14 fl oz"
1925,Magnum Mini Ice Cream Bars Classic - 6ct
1926,Thelma's Signature Snickerdoodle Ice Cream Sandwich - 5.2oz
1927,"Chocolate Fudge Brownie Ice Cream, 1 pint"
1928,"Dean's Country Fresh Butter Pecan Ice Cream, 1.5 qt"
1929,Good Humor Ice Cream & Frozen Desserts Oreo Bar - 6pk
1930,"Great Value Sea Salt Caramel Ice Cream, 48 Fl. Oz"
1931,"Organic Vanilla Bean Ice Cream, 1.5 quart"
1932,"Great Value Strawberry Shortcake Ice Cream, 48 fl oz"
1933,"Peanut Butter Paradise Ice Cream, 424 g"
1934,"Maxine's Organic Vanilla Bean Ice Cream, 1.5 qts"
1935,Blue Bunny Load'd Sundaes Salted Caramel Pecan Cup
1936,"Organic Cookies & Cream Ice Cream, 1.5 quart"
1937,"Green Tea Ice Cream, 1 pint"
1938,Breyers Bakery Inspired Frozen Dairy Dessert Cinnabon 48 oz
1939,"Frozen Ice Cream, Butter Pecan, 1.5 qt"
1940,Chipwich Bday Cake Sandwich
1941,"Organic Cookies And Cream Ice Cream, 10 fl oz"
1942,HAAGEN-DAZS Vanilla Ice Cream 28 fl. oz. Tub | No GMO Ingredients | No rBST | Gluten Free
1943,Friendly's® Chocolate 'n Vanilla Ice Cream 1.5 qt. Carton
1944,Breyers Frozen Dairy Dessert New York Style Cheesecake 48 oz
1945,Klondike Frozen Dairy Dessert Bars OREO 4 fl oz 6 Count
1946,"Coconut Fruit Bar, 3 fl oz"
1947,"Dean's Country Fresh Chocolate Ice Cream, 1.5 qt"
1948,DISNEY MICKEY MOUSE Cookies 'n Cream Ice Cream Sandwiches 6 ct Box
1949,CARNATION Chocolate Malted Milk Mix 13 oz.
1950,"Klondike Ice Cream Bars Original 4.5 oz, 6 Count"
