id,name
801,Tazo Tea Bags Passion 20 Tea Bags
802,"Great Value Decaffeinated Green Tea, Tea Bags, 40 Count"
803,"Great Value Iced Tea Bags Family Size, 24 count, 6 oz"
804,"Great Value Black Tea Bags, 100 Count"
805,"Great Value Unsweet Brewed Iced Tea, 128 fl oz"
806,Ellis Isle Unsweet Tea - 16.9 fl oz Bottle
807,"Oolong Tea, 10.1 fl oz"
808,"Matcha Tea Unsweetened, 6 oz"
809,"Matcha Green Tea Powder, 1 oz"
810,"Strawberry Rhubarb Kombucha, 15.2 fl oz"
811,"Organic French Roast Herbal Coffee, 2.12 oz"
812,Organic Turmeric Single Sip Tea
813,"Organic Daily Greens Probiotic Sips, 2.47 oz"
814,"Chai Concentrate Bhakti Original Chai Concentrate, 32 fl oz"
815,"Organic Forest Berry Sparkling Tonic, 15.2 fl oz"
816,"The Original Organic Chai Tea Latte, 32 fl oz"
817,Ellis Isle Wet Shuga Tea - 16.9 fl oz Bottle
818,"Marketside Sweet Tea, 44 oz"
819,"Egranate Peach Passion White Tea, 12 fl oz"
820,"Organic Cran Hbscs Apl Cdr Vinegar Sips, 3 oz"
821,Iberia Caribbean Dreams Ginger Tea - 24ct
822,Tazo Iced Peachy Green Tea Concentrate - 32 fl oz
823,"Slightly Sweet Original Chai Tea Latte Concentrate, 32 fl oz"
824,"Bolthouse Farms Perfectly Protein Vanilla Chai Tea Drink, 52 oz"
825,"Sweety Green Tea Mochi Ice Cream, 6 Pieces, 8.4 oz"
826,Tazo Classic Chai Latte Concentrate Black Tea 32 oz
827,Tazo Organic Chai Latte Concentrate Black tea 32 oz
828,"Vanilla Sarsaparilla Kombucha, 16 oz"
829,"Ginger Fire Kombucha, 16 oz"
830,"Sun Blossom Kombucha, 16 oz"
831,Mott's Hot Apple Cider Keurig K-Cup Pods - 24ct
832,"Fermented Dairy Probiotic - Vanilla 6 Pack, 21 fl oz"
833,"Organic Strwbrry Banana Probiotic Juice, 1 qt"
834,"Arizona Green Tea with Ginseng & Honey, 23 Fl. Oz."
835,Arizona Green Tea with Ginseng and Honey - 23 fl oz Can
836,"Decaf Chai Tea Latte, 32 fl oz"
837,"Arizona Southern Style Real Brewed Sweet Tea, 128 Fl. Oz."
838,Arizona Southern Style Real Brewed Sweet Tea - 23 fl oz Can
839,Arizona Southern Style Sweet Tea - 16.9oz
840,"Arizona Arnold Palmer Half & Half Lite Iced Tea Lemonade, 128 Fl. Oz."
841,Oregon Chai Powdered Mix Chai Tea Latte The Original
842,"Blood Orange Bitters Kombucha, 15.2 fl oz"
843,"Szechuan Pineapple Kombucha, 15.2 fl oz"
844,AriZona Arnold Palmer Zero Half Iced Tea & Half Lemonade - 128 fl oz Jug
845,AriZona Arnold Palmer Lite Half Iced Tea & Half Lemonade - 128 fl oz Jug
846,AriZona Arnold Palmer Lite Half Iced Tea & Half Lemonade - 23 fl oz Can
847,"Organic Lemonade Tea, 64 fl oz"
848,"Great Value Chai Latte Drink Mix Single-Serve Cups, 0.55 oz, 12 Count"
849,"V8 +Energy, Healthy Energy Drink, Natural Energy from Tea, Diet Strawberry Lemonade, 8 Ounce Can, (Pack of 6)"
850,"Brisk Half & Half Iced Tea & Blueberry Lemonade, 1 Liter"
