id,name
1801,"Total Plain Greek Yogurt, 7 oz"
1802,"Original, 11.2 fl oz"
1803,"Unsweetened Vanilla Yogurt, 16 oz"
1804,"Light + Fit Nonfat Gluten-Free Vanilla Greek Yogurt, 5.3 Oz. Cups, 4 Count"
1805,"Great Value Light Greek Vanilla Nonfat Yogurt, 5.3 oz, 4 count"
1806,"Great Value Light Greek Vanilla Nonfat Yogurt, 5.3 oz"
1807,"Bulgarian Probiotic Yogurt (1 gal), 128 fl oz"
1808,"Peach Cloudberry Skyr, 5.3 oz"
1809,Siggi's Nonfat Vanilla Icelandic Style Greek Yogurt - 5.3oz
1810,"Organic Unsalted Vegan Butter, 8 oz"
1811,"Mixed Berry Plant Based Yogurt, 5.3 oz"
1812,Chobani Complete Key Lime Greek Yogurt - 5.3oz
1813,"Unsweetened Coconut Milk Yogurt, 5.3 oz"
1814,"Dannon Nonfat Non-GMO Project Verified Plain Yogurt, 32 Oz."
1815,Siggi's Strawberry Icelandic Style Greek Yogurt - 5.3oz
1816,"No Sugar Added Peach Greek Yogurt, 5.3 oz"
1817,"Organic Blueberry Perfect Kefir, 32 fl oz"
1818,"Mixed Berry Whole Milk Skyr Yogurt, 4.4 oz"
1819,"So Delicious Dairy Free Strawberry Banana Coconutmilk Yogurt, 5.3 Oz."
1820,"Cultured Pepper Jack Style Shreds, 8 oz"
1821,"Yogurt Raspberry, 5.3 oz"
1822,Icelandic Provisions Blueberry & Bilberry Skyr Yogurt - 5.3oz
1823,"Yogurt Peach Mango, 5.3 oz"
1824,"Blueberry Greek Strained Yogurt, 5.3 oz"
1825,Stonyfield Organic Very Berry Kids' Yogurt Drinks - 3.1 fl oz/12ct
1826,Icelandic Provisions Coconut Skyr Yogurt - 5.3oz
1827,Chobani Probiotic Yogurt Drink Raspberry - 24 fl oz
1828,"DanActive Probiotic Dailies Vanilla Dairy Drink, 3.1 Oz., 8 Count"
1829,"Great Value Greek Black Cherry Nonfat Yogurt, 5.3 oz"
1830,"Organic Lowfat Vanilla Kefir, 32 fl oz"
1831,"Organic Sensational Scallion Cashew Cream Cheese, 8 oz"
1832,"Great Value Greek Strawberry Nonfat Yogurt, 5.3 oz"
1833,"Chobani Flip, Low-fat Greek Yogurt, Banana Cream Pie 5.3oz"
1834,"Blueberry Yoghurt (4 pk), 16 oz"
1835,"Activia Probiotic Dailies Strawberry Yogurt Drink, 3.1 Oz., 8 Count"
1836,Yasso Frozen Greek Yogurt - Coffee Chocolate Chip Bars - 4ct
1837,Chobani Peach on the Bottom Nonfat Greek Yogurt - 5.3oz
1838,Chobani Key Lime Blended Non-Fat Greek Yogurt - 4pk/5.3oz
1839,Chobani Flip Almond Coco Loco Low Fat Greek Yogurt - 5.3oz
1840,"Vanilla Bean Yoghurt, 8 oz"
1841,Noosa Lemon Probiotic Whole Milk Yoghurt - 8oz
1842,"Orange Blossom Honey French Yogurt, 4.9 oz"
1843,"Oui by Yoplait French Style Yogurt, Strawberry, Non-GMO, Gluten Free, 5.0 oz"
1844,"Oui by Yoplait French Style Yogurt, Lemon, Non-GMO, Gluten Free Yogurt, 5.0 oz"
1845,"Ben & Jerry's Half Baked FroYo Frozen Yogurt, 16 oz"
1846,Chobani Flip Banana Cream Pie Greek Yogurt - 5.3oz
1847,"Noosa Yoghurt, Whole Milk Yogurt, Raspberry 8 oz"
1848,Chobani® Low-Fat Greek Yogurt Mango Drink 7oz
1849,"Noosa Pumpkin Finest Yoghurt, 8 OZ"
1850,Chobani Flip Peach Low Fat Greek Yogurt - 5.3oz
