original_ID,name,store,harmonized single category,brand,f_FPro,f_FPro_P,f_min_FPro,f_std_FPro,f_FPro_class,price,price percal,package_weight,has10_nuts,is_Nuts_Converted_100g,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin C,Cholesterol,"Fatty acids, total saturated",Total Vitamin A,product_url,image_url
tg_53140726,Turkey Pepperoni Slices - 5oz - Market Pantry™,Target,Pizza,Turkey Pepperoni Slices,0.6339,,,,,,,5oz,,,0.0,2.03,,,15.0,0.0,0.0,26.67,,,,,https://www.truefood.tech/product/tg_53140726?store=all,https://www.truefood.tech/grocery_image/Target/tg_53140726
wf_against-the-grain-three-cheese-gourmet-pizza-24-oz-b018o4u620,"Three Cheese Gourmet Pizza, 24 oz",WholeFoods,Pizza,Three Cheese Gourmet Pizza,0.683,,,,,,,24 oz,,,22.79,0.25,,,19.12,0.0,,8.82,,,,,https://www.truefood.tech/product/wf_against-the-grain-three-cheese-gourmet-pizza-24-oz-b018o4u620?store=all,https://www.truefood.tech/grocery_image/WholeFoods/wf_against-the-grain-three-cheese-gourmet-pizza-24-oz-b018o4u620
tg_47105634,Pizza Corner Taco Frozen Pizza - 31.5oz,Target,Pizza,,0.7308,,,,,,,31.5oz,,,27.39,0.36,,,7.01,0.0,0.0,10.19,,,,,https://www.truefood.tech/product/tg_47105634?store=all,https://www.truefood.tech/grocery_image/Target/tg_47105634
wf_caulipower-margherita-pizza-109-oz-b0747pmsvj,"Margherita Pizza, 10.9 oz",WholeFoods,Pizza,Margherita Pizza,0.7366,,,,,,,10.9 oz,,,31.61,0.34,,,7.74,0.0,,5.81,,,,,https://www.truefood.tech/product/wf_caulipower-margherita-pizza-109-oz-b0747pmsvj?store=all,https://www.truefood.tech/grocery_image/WholeFoods/wf_caulipower-margherita-pizza-109-oz-b0747pmsvj
tg_13429196,DiGiorno Thin Crispy Crust Pepperoni Frozen Pizza - 8.4oz,Target,Pizza,,0.7279,,,,,,,8.4oz,,,28.33,0.05,,,10.42,0.0,,10.0,,,,,https://www.truefood.tech/product/tg_13429196?store=all,https://www.truefood.tech/grocery_image/Target/tg_13429196
wm_19400275,Gino's East of Chicago Authentic Deep Dish Pizza Cheese,Walmart,Pizza,,0.7529,,,,,,,,,,24.55,0.2,,,14.55,0.0,0.0,11.82,,,,,https://www.truefood.tech/product/wm_19400275?store=all,https://www.truefood.tech/grocery_image/Walmart/wm_19400275
wf_agricola-portobello-mushroom-pizza-213e7a,"Portobello Mushroom Pizza, 14.46 oz",WholeFoods,Pizza,Portobello Mushroom Pizza,0.7598,,,,,,,14.46 oz,,,25.0,0.26,,,13.24,0.0,0.01,10.29,,,,,https://www.truefood.tech/product/wf_agricola-portobello-mushroom-pizza-213e7a?store=all,https://www.truefood.tech/grocery_image/WholeFoods/wf_agricola-portobello-mushroom-pizza-213e7a
wm_649483394,Lean Cuisine Features Farmer's Market Frozen Pizza 6 oz.,Walmart,Pizza,,0.7652,,,,,,,6 oz,,,29.41,0.36,,,5.29,0.0,,8.24,,,,,https://www.truefood.tech/product/wm_649483394?store=all,https://www.truefood.tech/grocery_image/Walmart/wm_649483394
tg_79226815,Thin Crust BBQ Chicken Frozen Pizza - 15.3oz - Good & Gather™,Target,Pizza,,0.791,,,,,,,15.3oz,,,24.14,0.63,,,9.66,0.0,,12.41,,,,,https://www.truefood.tech/product/tg_79226815?store=all,https://www.truefood.tech/grocery_image/Target/tg_79226815
tg_47955442,Screamin' Sicilian Supreme Frozen Pizza - 25oz,Target,Pizza,,0.8132,,,,,,,25oz,,,19.01,0.58,,,13.38,0.0,,9.86,,,,,https://www.truefood.tech/product/tg_47955442?store=all,https://www.truefood.tech/grocery_image/Target/tg_47955442
wf_udis-gluten-free-foods-supreme-pizza-90cd4a,"Supreme Pizza, 11 oz",WholeFoods,Pizza,Supreme Pizza,0.8021,,,,,,,11 oz,,,24.36,0.58,,,12.82,0.0,0.01,10.26,,,,,https://www.truefood.tech/product/wf_udis-gluten-free-foods-supreme-pizza-90cd4a?store=all,https://www.truefood.tech/grocery_image/WholeFoods/wf_udis-gluten-free-foods-supreme-pizza-90cd4a
